inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
,,24/7 real media,,,,,,,,
ETIP,Mobile Marketing,360Dialog,360dialog.com,,,,https://developers.360dialog.io/mobile/android/sdk_setup.html?android,,,
ETIP,Mobile Marketing,Aarki,aarki.com,USA,com.aarki,,,,,
ETIP,,ABTasty,abtasty.com,,com.abtasty,abtasty\.com,,,,
ETIP,Mobile Marketing,Accengage (an Urban Airship Company.  formerly Ad4Screen),accengage.com,,com.ad4screen.sdk,a4\.tl|accengage\.com|ad4screen\.com|ad4push\.com,,,,
ETIP,,AccountKit,accountkit.com,,com.facebook.accountkit,,,,,
ETIP,,Actv8,actv8me.com,,me.actv8,actv8technologies.com,,,,
ETIP,,Acuant,acuantcorp.com,,,,,https://bintray.com/acuant,,
ETIP,,Ad4Game,ad4game.com,Canada,,,http://developer.ad4game.com/index.php/Android,,,
,Mobile Marketing,AdAction Interactive,adaction.mobi,,,,x,,,https://github.com/adaction
ETIP,Mobile Marketing,AdAdapted,adadapted.com,,,,https://dev.adadapted.com,,,
ETIP,,adboost,adboost.sk,,.com.ew.sdk.adboost,,,,,
ETIP,,Adbrix,ad-brix.com,,com.igaworks,,,,,
ETIP,Mobile Marketing,AdBuddiz,publishers.adbuddiz.com,,,,,,,
ETIP,,AdCash,adcash.com,Estonia,,,,,,
ETIP,Mobile Marketing,Adcenix,adcenix.com,,com.adcenix.,,,,,
,,Adcito Media,adcitomedia.com,USA,,,,,,
ETIP,Mobile Marketing,AdColony (Jirbo),jirbo.com|adcolony.com,USA,com.jirbo|com.adcolony,adcolony.com,,,,
ETIP,,Add Apt Tr,addapptr.com,,com.intentsoftware.addapptr,,,,,
,,adDash,,,,,,,,https://github.com/adDash
,,AdDuplex,,,,,,,,https://github.com/AdDuplex
,Mobile Marketing,Adelphic,adelphic.com,USA,,,,,,
,DMP,Adex,theadex.com,,,,,,,
,Mobile Marketing,AdFalcon by Noqoush,adfalcon.com,UAE,,,,,,https://github.com/adfalcon
ETIP,,AdFit (Daum),daum.net,,com.kakao.adfit.ads,,,,,
ETIP,,Adflake,made-apps.com,,com.adflake,,,,,
,,Adfonic,adfonic.com,UK,com.adfonic,,,,,
,,Adforce,adforce.com,Ireland,,,,,,https://github.com/adforce
ETIP,Display & Programmatic Advertising,AdForm,adform.com,,com.adform.sdk|com.adform.adformtrackingsdk,,,,,
,,Adfrap,adfrap.com,UK,,,,,,
ETIP,,Adfurikun,adfurikun.jp,,jp.tjkapp.adfurikunsdk,,,,,
,Mobile Marketing,Adgoji,adgoji.com,,com.adgoji.mraid.,,,,,https://github.com/adgoji
,,Adgorithms,adgorithms.com,Israel,,,,,,
,,AdGroups,adgroups.net,USA,,,,,,
,,AdHaven,,,,,,,,
,Mobile & Web Analytics,Adigami,adigami.com,,,,,,,https://github.com/adigami
,Mobile Marketing,Adikteev,adikteev.com,,,,,,,https://github.com/adikteev
,,Adinch,adinch.com,USA,,,,,,https://github.com/adinch
ETIP,,Adincube,adincube.com,,com.adincube.sdk.,,,,,
,,ADITION,adition.com,,com.adition.android.sdk.,,,,,https://github.com/adition
ETIP,Mobile Marketing,Adjust,adjust.com,,com.adjust.sdk.,,,,,
,,AdKarma,adkarma.net,USA,,,,,,
,,Adknowledge,adknowledge.com,USA,com.adknowledge,,,,,https://github.com/adknowledge
,,Adlantis,adlantis.jp,Japan,,,,,,https://github.com/adlantis
ETIP,Mobile Marketing,ADLIB,adlibr.com,,,,,,,
ETIP,Mobile Marketing,AdLocus,adlocus.com,,,,,,,
,,Adloqi,adloqi.com,UK,,,,,,
,,Admagnet,admagnet.com,India,,,,,,
,,adMarketplace,admarketplace.com,USA,,,,,,https://github.com/admarketplace
,,AdMarvel,admarvel.com,USA,com.admarvel,,,,,
,,AdMaxim,admaxim.com,USA,,,,,,https://github.com/admaxim
ETIP,,Admixer,admixer.co.kr,,com.admixer,,,,,
,,AdMob,google.com/admob,,com.admob,,,,,
,,AdMobix,admobix.com,Canada,,,,,,https://github.com/admobix
,,Admoda,admoda.com,UK,,,,,,
,,AdMoment,admoment.ru,Russia,,,,,,
ETIP,,Admost,admost.com,,admost.sdk,,,,,
ETIP,,AdMuing,github.com/admuing,,com.admuing,,,,,
,,AdNetwork.net,adnetwork.net,Argentina,,,,,,https://github.com/adnetwork
,Native/Content Advertising,Adnow,adnow.com,,,,,,,https://github.com/adnow
ETIP,,Adot,we-are-adot.com,,com.adotmob,,,,,
,,Adotomi,adotomi.com,USA,,,,,,
,Mobile Marketing,Adperio,adperio.com,,,,,,,
,,Adplace,adplace.com,Germany,,,,,,https://github.com/adplace
ETIP,Mobile Marketing,adPoPcorn,adpopcorn.com,,,,,,,
,,Ads Yolo,,,,,,,,
,,Adsense,,,,,,,,https://github.com/Adsense
,,Adsmovil,adsmovil.com,Latin America,,,,,,https://github.com/adsmovil
,,Adspree media,,,,,,,,
,Mobile Marketing,adsquare,adsquare.com,,,,,,,https://github.com/adsquare
ETIP,Display & Programmatic Advertising,AdsWizz,adswizz.com,,com.adswizz.sdk.,,,,,
ETIP,Display & Programmatic Advertising,AdTheorent,adtheorent.com,USA,,,,,,
,Mobile Marketing,Adtile Technologies,adtile.me,,,,,,,https://github.com/adtile
,,Adways,adways.net,Japan,,,,,,https://github.com/adways
,,Adwhirl,adwhirl.com,,com.adwhirl,,,,,
,,AdWired,,,,,,,,https://github.com/AdWired
,,Ad-X Tracking,,,,,,,,
,,AdXcel,adxcel.com,USA,,,,,,https://github.com/adxcel
,,Adxperience,adxperience.com,France,,,,,,https://github.com/adxperience
,,Adxtracking,adxtracking.com,,com.adx,,,,,
ETIP,,Adzerk,adzerk.com,,,,,,,
,Mobile Marketing,AdZouk,adzouk.com,Middle East,,,,,,
ETIP,Mobile Marketing,AerServ,aerserv.com,,com.aerserv.sdk.,,,,,
,,Affiliate Media Inc.,affiliatemedia.com,USA,,,,,,
,,affiliaXe,affiliaxe.com,Israel,,,,,,
,Mobile Marketing,Affle/ripple,affle.com,,,,,,,
,CRM,Agendize,agendize.com,,,,,,,https://github.com/agendize
,Mobile & Web Analytics,Air360,air360.io,,,,,,,https://github.com/air360
,,Airbrake,,,,,,https://bintray.com/Airbrake,,https://github.com/Airbrake
,Mobile Marketing,AirKast,airkast.com,,,,,,,https://github.com/airkast
ETIP,Mobile Marketing,Airpush,airpush.com,USA,com.airpush,,,,,https://github.com/airpush
,Mobile & Web Analytics,Albacross Website Tracking,albacross.com,,,,,,,https://github.com/albacross
,Mobile & Web Analytics,Alliant,alliantinsight.com,,,,,,,
,,All-Star Media Group,allstarmediagroup.com,USA,,,,,,
ETIP,,Alohalytics,github.com/biodranik/alohalytics,,org.alohalytics,,,,,
ETIP,Display & Programmatic Advertising,Alphonso,alphonso.tv,,tv.alphonso.service,,,,,
